Date,SO2,NOx,RSPM,SPM,AQI,Location,Carbon_Footprint,Zone,PM2.5,Cigarettes_per_Day
02-06-2014,20,13,49,221,49,Kharadi,306.3,Red Zone,24.50,1.11
03-06-2014,20,49,55,221,55,Baner,336.9,Red Zone,27.50,1.25
04-06-2014,9,10,40,221,40,Viman Nagar,290.6,Yellow Zone,20.00,0.91
04-06-2014,16,22,22,59,28,Kharadi,108.1,Green Zone,11.00,0.50
05-06-2014,9,9,84,221,84,Koregaon Park,329.5,Red Zone,42.00,1.91
05-06-2014,15,32,51,117,51,Kharadi,204.5,Yellow Zone,25.50,1.16
06-06-2014,25,86,83,221,106,Koregaon Park,390.5,Red Zone,41.50,1.89
06-06-2014,27,42,118,386,112,Kharadi,573.7,Red Zone,59.00,2.68
07-06-2014,60,40,162,228,141,Magarpatta,454.6,Red Zone,81.00,3.68
08-06-2014,17,53,106,373,104,Kharadi,551.3,Red Zone,53.00,2.41
08-06-2014,10,16,123,221,115,Koregaon Park,370,Red Zone,61.50,2.80
09-06-2014,16,27,131,314,121,Kharadi,490.2,Red Zone,65.50,2.98
09-06-2014,19,18,129,221,119,Magarpatta,381.3,Red Zone,64.50,2.93
10-06-2014,21,32,155,221,137,Baner,415.5,Red Zone,77.50,3.52
11-06-2014,14,51,158,354,139,Baner,574.3,Red Zone,79.00,3.59
11-06-2014,25,55,176,221,151,Kharadi,452.5,Red Zone,88.00,4.00
12-06-2014,22,31,189,221,159,Viman Nagar,445.9,Red Zone,94.50,4.30
12-06-2014,12,44,128,332,119,Kharadi,517.2,Red Zone,64.00,2.91
13-06-2014,18,22,155,221,137,Hinjewadi,407,Red Zone,77.50,3.52
13-06-2014,16,27,146,349,131,Baner,542.2,Red Zone,73.00,3.32
14-06-2014,21,43,162,221,141,Koregaon Park,429.5,Red Zone,81.00,3.68
14-06-2014,16,39,135,389,123,Magarpatta,584.7,Red Zone,67.50,3.07
15-06-2014,23,29,172,221,148,Baner,429.7,Red Zone,86.00,3.91
15-06-2014,18,53,137,369,125,Baner,575.3,Red Zone,68.50,3.11
16-06-2014,25,39,187,221,158,Kharadi,451.2,Red Zone,93.50,4.25
16-06-2014,18,34,191,457,161,Koregaon Park,707.4,Red Zone,95.50,4.34
17-06-2014,17,22,145,221,130,Kharadi,397.5,Red Zone,72.50,3.30
18-06-2014,25,51,152,410,135,Koregaon Park,636,Red Zone,76.00,3.45
18-06-2014,19,23,132,221,121,Koregaon Park,387.5,Red Zone,66.00,3.00
19-06-2014,17,15,136,221,124,Hinjewadi,384.5,Red Zone,68.00,3.09
19-06-2014,20,40,148,430,132,Baner,644.2,Red Zone,74.00,3.36
20-06-2014,18,27,135,221,123,Viman Nagar,392.5,Red Zone,67.50,3.07
20-06-2014,18,40,147,373,131,Baner,579.6,Red Zone,73.50,3.34
21-06-2014,25,153,184,221,173,Viman Nagar,528.3,Red Zone,92.00,4.18
21-06-2014,20,37,114,349,109,Magarpatta,522.4,Red Zone,57.00,2.59
22-06-2014,23,38,167,221,145,Baner,431.5,Red Zone,83.50,3.80
22-06-2014,20,66,110,296,107,Hinjewadi,480.8,Red Zone,55.00,2.50
23-06-2014,32,38,215,457,177,Hinjewadi,738.8,Red Zone,107.50,4.89
24-06-2014,13,51,164,221,143,Hinjewadi,432.9,Red Zone,82.00,3.73
24-06-2014,15,52,118,270,112,Viman Nagar,447.1,Red Zone,59.00,2.68
24-06-2014,20,35,171,323,147,Baner,543.7,Red Zone,85.50,3.89
25-06-2014,20,17,128,221,119,Baner,380.2,Red Zone,64.00,2.91
25-06-2014,10,36,98,341,98,Magarpatta,493.5,Red Zone,49.00,2.23
26-06-2014,21,49,118,347,112,Magarpatta,532.7,Red Zone,59.00,2.68
26-06-2014,25,32,163,221,142,Hinjewadi,424.7,Red Zone,81.50,3.70
27-06-2014,19,19,138,221,125,Baner,390.1,Red Zone,69.00,3.14
27-06-2014,15,50,92,524,92,Koregaon Park,701.7,Red Zone,46.00,2.09
28-06-2014,18,15,117,221,111,Kharadi,367.9,Red Zone,58.50,2.66
29-06-2014,13,15,116,221,111,Koregaon Park,364.5,Red Zone,58.00,2.64
29-06-2014,20,24,28,112,30,Viman Nagar,175.2,Green Zone,14.00,0.64
30-06-2014,20,9,42,221,42,Hinjewadi,297.2,Yellow Zone,21.00,0.95
30-06-2014,26,37,26,130,46,Magarpatta,205.3,Yellow Zone,13.00,0.59
01-07-2014,20,11,65,221,65,Magarpatta,319.3,Red Zone,32.50,1.48
01-07-2014,17,23,18,63,29,Kharadi,110.1,Green Zone,9.00,0.41
02-07-2014,9,49,29,221,29,Kharadi,308,Red Zone,14.50,0.66
02-07-2014,18,28,21,63,35,Kharadi,116.8,Green Zone,10.50,0.48
03-07-2014,10,49,64,221,64,Kharadi,340,Red Zone,32.00,1.45
03-07-2014,12,31,55,137,55,Kharadi,227.9,Yellow Zone,27.50,1.25
04-07-2014,28,39,126,301,117,Koregaon Park,485.8,Red Zone,63.00,2.86
04-07-2014,35,140,116,221,160,Baner,463,Red Zone,58.00,2.64
05-07-2014,19,56,190,315,160,Koregaon Park,566.2,Red Zone,95.00,4.32
06-07-2014,37,51,108,234,105,Koregaon Park,408.8,Red Zone,54.00,2.45
06-07-2014,19,21,122,221,115,Baner,377.1,Red Zone,61.00,2.77
07-07-2014,16,21,97,221,97,Kharadi,353.1,Red Zone,48.50,2.20
07-07-2014,38,56,71,153,71,Magarpatta,290.4,Yellow Zone,35.50,1.61
08-07-2014,18,20,100,221,100,Kharadi,356.1,Red Zone,50.00,2.27
09-07-2014,21,33,146,221,131,Magarpatta,408.1,Red Zone,73.00,3.32
09-07-2014,41,65,92,250,92,Viman Nagar,423.8,Red Zone,46.00,2.09
10-07-2014,26,31,155,221,137,Viman Nagar,417.3,Red Zone,77.50,3.52
10-07-2014,30,65,115,318,110,Hinjewadi,513.8,Red Zone,57.50,2.61
11-07-2014,26,20,163,221,142,Baner,416.8,Red Zone,81.50,3.70
11-07-2014,44,70,93,259,93,Hinjewadi,439.6,Red Zone,46.50,2.11
12-07-2014,23,21,146,221,131,Hinjewadi,400.7,Red Zone,73.00,3.32
12-07-2014,34,65,96,324,96,Magarpatta,505.3,Red Zone,48.00,2.18
13-07-2014,22,45,141,278,127,Koregaon Park,475.2,Red Zone,70.50,3.20
13-07-2014,19,22,101,221,101,Koregaon Park,358.9,Red Zone,50.50,2.30
14-07-2014,30,28,85,219,85,Koregaon Park,352,Red Zone,42.50,1.93
16-07-2014,48,91,111,374,111,Kharadi,599,Red Zone,55.50,2.52
16-07-2014,23,19,153,221,135,Magarpatta,405.6,Red Zone,76.50,3.48
17-07-2014,23,19,173,221,149,Kharadi,423.6,Red Zone,86.50,3.93
17-07-2014,45,76,89,289,95,Magarpatta,473.7,Red Zone,44.50,2.02
18-07-2014,42,49,99,239,99,Kharadi,407.3,Red Zone,49.50,2.25
18-07-2014,22,19,151,221,134,Hinjewadi,403.3,Red Zone,75.50,3.43
19-07-2014,47,63,80,280,80,Hinjewadi,447.6,Red Zone,40.00,1.82
20-07-2014,22,45,95,272,95,Koregaon Park,427.2,Red Zone,47.50,2.16
21-07-2014,44,66,76,213,83,Hinjewadi,370.9,Red Zone,38.00,1.73
23-07-2014,29,66,106,354,104,Baner,545.5,Red Zone,53.00,2.41
23-07-2014,26,23,165,221,143,Kharadi,420.7,Red Zone,82.50,3.75
24-07-2014,22,45,102,359,101,Kharadi,529.2,Red Zone,51.00,2.32
24-07-2014,25,23,155,221,137,Viman Nagar,411.2,Red Zone,77.50,3.52
25-07-2014,15,59,148,411,132,Magarpatta,634.1,Red Zone,74.00,3.36
25-07-2014,8,37,135,221,123,Koregaon Park,394.5,Red Zone,67.50,3.07
26-07-2014,20,29,158,461,139,Hinjewadi,679.6,Red Zone,79.00,3.59
26-07-2014,20,18,141,221,127,Viman Nagar,392.6,Red Zone,70.50,3.20
27-07-2014,23,24,148,221,132,Viman Nagar,404.6,Red Zone,74.00,3.36
27-07-2014,24,34,162,567,141,Hinjewadi,805.3,Red Zone,81.00,3.68
28-07-2014,17,30,86,233,86,Viman Nagar,363.2,Red Zone,43.00,1.95
28-07-2014,17,16,136,221,124,Baner,385.2,Red Zone,68.00,3.09
29-07-2014,19,18,112,221,108,Hinjewadi,366,Red Zone,56.00,2.55
29-07-2014,35,43,52,220,54,Viman Nagar,336.4,Red Zone,26.00,1.18
30-07-2014,23,36,32,145,45,Viman Nagar,225,Yellow Zone,16.00,0.73
30-07-2014,16,19,95,221,95,Kharadi,349.9,Red Zone,47.50,2.16
31-07-2014,31,30,27,61,38,Baner,127.9,Green Zone,13.50,0.61
31-07-2014,30,39,32,139,49,Magarpatta,224,Yellow Zone,16.00,0.73
31-07-2014,20,49,39,221,39,Koregaon Park,322.5,Red Zone,19.50,0.89
01-08-2014,20,10,80,221,80,Viman Nagar,332.1,Red Zone,40.00,1.82
01-08-2014,17,34,42,193,43,Kharadi,282.4,Yellow Zone,21.00,0.95
02-08-2014,9,49,27,221,27,Magarpatta,306.2,Red Zone,13.50,0.61
02-08-2014,18,36,37,108,45,Magarpatta,186.3,Green Zone,18.50,0.84
03-08-2014,9,49,36,221,36,Magarpatta,314.3,Red Zone,18.00,0.82
04-08-2014,32,140,133,221,160,Baner,476.8,Red Zone,66.50,3.02
04-08-2014,60,31,130,256,120,Hinjewadi,450.3,Red Zone,65.00,2.95
05-08-2014,21,29,157,283,138,Magarpatta,483.4,Red Zone,78.50,3.57
06-08-2014,31,67,53,254,84,Baner,389.5,Red Zone,26.50,1.20
06-08-2014,21,22,127,221,118,Hinjewadi,383.3,Red Zone,63.50,2.89
07-08-2014,25,15,126,221,117,Viman Nagar,379.5,Red Zone,63.00,2.86
07-08-2014,24,68,104,318,103,Kharadi,503,Red Zone,52.00,2.36
08-08-2014,23,18,107,221,105,Baner,363.5,Red Zone,53.50,2.43
08-08-2014,25,33,67,214,67,Viman Nagar,331.3,Red Zone,33.50,1.52
09-08-2014,23,15,107,221,105,Koregaon Park,361.4,Red Zone,53.50,2.43
09-08-2014,23,36,43,222,45,Kharadi,319.6,Red Zone,21.50,0.98
10-08-2014,22,15,131,221,121,Kharadi,382.5,Red Zone,65.50,2.98
10-08-2014,18,51,84,211,84,Viman Nagar,352.4,Red Zone,42.00,1.91
11-08-2014,25,20,165,221,143,Kharadi,418.1,Red Zone,82.50,3.75
11-08-2014,32,35,98,302,98,Baner,460.9,Red Zone,49.00,2.23
12-08-2014,20,13,137,221,125,Viman Nagar,385.5,Red Zone,68.50,3.11
13-08-2014,21,48,85,265,85,Viman Nagar,412.1,Red Zone,42.50,1.93
14-08-2014,24,38,77,349,77,Kharadi,491.8,Red Zone,38.50,1.75
14-08-2014,15,13,133,221,122,Viman Nagar,379.4,Red Zone,66.50,3.02
15-08-2014,18,15,160,221,140,Koregaon Park,406.6,Red Zone,80.00,3.64
15-08-2014,35,31,88,200,88,Kharadi,338.4,Red Zone,44.00,2.00
16-08-2014,17,14,172,221,148,Hinjewadi,416.2,Red Zone,86.00,3.91
16-08-2014,21,49,77,301,77,Koregaon Park,445.2,Red Zone,38.50,1.75
17-08-2014,18,37,106,309,104,Magarpatta,470.2,Red Zone,53.00,2.41
17-08-2014,22,18,184,221,156,Hinjewadi,432.3,Red Zone,92.00,4.18
18-08-2014,24,22,169,221,146,Viman Nagar,422.6,Red Zone,84.50,3.84
18-08-2014,30,26,89,284,89,Magarpatta,425.7,Red Zone,44.50,2.02
19-08-2014,24,19,155,221,137,Magarpatta,407.9,Red Zone,77.50,3.52
20-08-2014,22,18,145,221,130,Viman Nagar,397.2,Red Zone,72.50,3.30
20-08-2014,34,47,71,362,71,Baner,512,Red Zone,35.50,1.61
21-08-2014,21,40,81,293,81,Magarpatta,433.7,Red Zone,40.50,1.84
21-08-2014,18,16,126,221,117,Magarpatta,376.7,Red Zone,63.00,2.86
22-08-2014,18,15,125,221,117,Baner,375.1,Red Zone,62.50,2.84
22-08-2014,28,32,75,213,75,Hinjewadi,338.2,Red Zone,37.50,1.70
23-08-2014,20,49,95,0,0,Hinjewadi,129.8,Green Zone,47.50,2.16
23-08-2014,20,17,108,221,105,Magarpatta,362.2,Red Zone,54.00,2.45
24-08-2014,13,61,176,459,151,Hinjewadi,712.5,Red Zone,88.00,4.00
25-08-2014,14,44,98,260,98,Kharadi,412,Red Zone,49.00,2.23
25-08-2014,20,18,136,221,124,Baner,388.1,Red Zone,68.00,3.09
26-08-2014,22,21,159,221,139,Hinjewadi,411.9,Red Zone,79.50,3.61
26-08-2014,14,53,117,280,111,Baner,457.4,Red Zone,58.50,2.66
27-08-2014,17,18,138,221,125,Kharadi,388.4,Red Zone,69.00,3.14
28-08-2014,33,41,58,191,58,Magarpatta,307.5,Red Zone,29.00,1.32
28-08-2014,14,15,109,221,106,Viman Nagar,358.7,Red Zone,54.50,2.48
29-08-2014,15,18,88,221,88,Magarpatta,342.4,Red Zone,44.00,2.00
29-08-2014,20,20,38,133,38,Baner,204.5,Yellow Zone,19.00,0.86
30-08-2014,20,49,57,221,57,Kharadi,338.7,Red Zone,28.50,1.30
31-08-2014,19,29,44,119,44,Magarpatta,200.3,Yellow Zone,22.00,1.00
01-09-2014,18,26,34,69,34,Koregaon Park,133.7,Green Zone,17.00,0.77
01-09-2014,9,9,36,221,36,Koregaon Park,286.3,Yellow Zone,18.00,0.82
02-09-2014,10,49,31,221,31,Hinjewadi,310.3,Red Zone,15.50,0.70
02-09-2014,15,22,59,129,59,Kharadi,217.9,Yellow Zone,29.50,1.34
03-09-2014,18,40,125,313,117,Magarpatta,493.8,Red Zone,62.50,2.84
03-09-2014,24,119,111,221,139,Magarpatta,438.3,Red Zone,55.50,2.52
04-09-2014,51,53,177,370,151,Viman Nagar,628.9,Red Zone,88.50,4.02
05-09-2014,35,36,44,180,45,Hinjewadi,280.3,Yellow Zone,22.00,1.00
05-09-2014,14,14,122,221,115,Hinjewadi,369.7,Red Zone,61.00,2.77
06-09-2014,13,16,110,221,107,Viman Nagar,359.8,Red Zone,55.00,2.50
06-09-2014,40,49,49,162,61,Kharadi,276.6,Yellow Zone,24.50,1.11
07-09-2014,27,38,75,288,75,Baner,424.4,Red Zone,37.50,1.70
08-09-2014,13,16,101,221,101,Kharadi,351.7,Red Zone,50.50,2.30
08-09-2014,47,31,40,123,59,Kharadi,216.5,Yellow Zone,20.00,0.91
09-09-2014,13,15,107,221,105,Hinjewadi,356.4,Red Zone,53.50,2.43
10-09-2014,34,49,33,131,61,Kharadi,225.1,Yellow Zone,16.50,0.75
11-09-2014,38,40,54,193,54,Baner,307.9,Red Zone,27.00,1.23
11-09-2014,16,15,100,221,100,Magarpatta,351.6,Red Zone,50.00,2.27
12-09-2014,16,20,95,221,95,Magarpatta,350.6,Red Zone,47.50,2.16
12-09-2014,37,35,40,103,44,Viman Nagar,192.3,Green Zone,20.00,0.91
13-09-2014,15,18,88,221,88,Hinjewadi,342.4,Red Zone,44.00,2.00
13-09-2014,29,50,40,100,63,Magarpatta,195.5,Green Zone,20.00,0.91
14-09-2014,26,53,52,136,66,Viman Nagar,246.5,Yellow Zone,26.00,1.18
15-09-2014,35,34,68,223,68,Magarpatta,347.8,Red Zone,34.00,1.55
15-09-2014,18,17,104,221,103,Baner,357.6,Red Zone,52.00,2.36
16-09-2014,15,18,88,221,88,Hinjewadi,342.4,Red Zone,44.00,2.00
17-09-2014,36,53,65,209,66,Hinjewadi,343.5,Red Zone,32.50,1.48
18-09-2014,19,18,112,221,108,Baner,366,Red Zone,56.00,2.55
18-09-2014,42,48,54,203,60,Viman Nagar,326.5,Red Zone,27.00,1.23
19-09-2014,13,17,90,221,90,Kharadi,342.5,Red Zone,45.00,2.05
19-09-2014,13,14,34,136,34,Koregaon Park,196.5,Green Zone,17.00,0.77
20-09-2014,19,23,45,134,45,Magarpatta,213.5,Yellow Zone,22.50,1.02
20-09-2014,13,17,88,221,88,Magarpatta,340.7,Red Zone,44.00,2.00
21-09-2014,19,24,110,264,107,Magarpatta,415.7,Red Zone,55.00,2.50
21-09-2014,12,49,85,221,85,Baner,359.9,Red Zone,42.50,1.93
22-09-2014,18,21,31,126,31,Viman Nagar,190.2,Green Zone,15.50,0.70
24-09-2014,28,38,135,305,123,Viman Nagar,497.6,Red Zone,67.50,3.07
24-09-2014,12,68,80,218,85,Kharadi,365.4,Red Zone,40.00,1.82
25-09-2014,18,33,133,504,122,Hinjewadi,706.2,Red Zone,66.50,3.02
25-09-2014,15,30,156,221,137,Koregaon Park,412,Red Zone,78.00,3.55
26-09-2014,23,55,116,314,111,Viman Nagar,499.8,Red Zone,58.00,2.64
26-09-2014,24,25,190,221,160,Magarpatta,443.6,Red Zone,95.00,4.32
27-09-2014,18,21,155,221,137,Hinjewadi,406.3,Red Zone,77.50,3.52
27-09-2014,24,55,88,279,88,Koregaon Park,436.6,Red Zone,44.00,2.00
28-09-2014,17,14,114,221,109,Koregaon Park,364,Red Zone,57.00,2.59
28-09-2014,35,53,189,417,159,Koregaon Park,683.4,Red Zone,94.50,4.30
28-09-2014,29,42,54,153,54,Kharadi,260.8,Yellow Zone,27.00,1.23
29-09-2014,17,22,46,112,46,Viman Nagar,188.5,Green Zone,23.00,1.05
29-09-2014,13,15,83,221,83,Viman Nagar,334.8,Red Zone,41.50,1.89
30-09-2014,28,36,28,140,45,Kharadi,218.4,Yellow Zone,14.00,0.64
30-09-2014,20,10,34,221,34,Kharadi,290.7,Yellow Zone,17.00,0.77
01-10-2014,20,49,77,221,77,Hinjewadi,356.7,Red Zone,38.50,1.75
01-10-2014,21,37,54,149,54,Kharadi,248.9,Yellow Zone,27.00,1.23
02-10-2014,9,49,42,221,42,Kharadi,319.7,Red Zone,21.00,0.95
03-10-2014,10,10,64,221,64,Koregaon Park,312.7,Red Zone,32.00,1.45
03-10-2014,12,41,32,77,51,Magarpatta,148.2,Green Zone,16.00,0.73
04-10-2014,21,106,88,221,126,Magarpatta,407,Red Zone,44.00,2.00
04-10-2014,15,47,103,203,102,Magarpatta,356.4,Red Zone,51.50,2.34
06-10-2014,21,23,31,101,31,Koregaon Park,165.6,Green Zone,15.50,0.70
06-10-2014,12,14,87,221,87,Magarpatta,337.2,Red Zone,43.50,1.98
07-10-2014,12,15,94,221,94,Viman Nagar,344.2,Red Zone,47.00,2.14
08-10-2014,12,14,84,221,84,Kharadi,334.5,Red Zone,42.00,1.91
08-10-2014,31,25,33,142,33,Koregaon Park,218.9,Yellow Zone,16.50,0.75
09-10-2014,12,15,91,221,91,Magarpatta,341.5,Red Zone,45.50,2.07
09-10-2014,25,19,51,228,51,Koregaon Park,322.5,Red Zone,25.50,1.16
10-10-2014,21,21,29,132,29,Koregaon Park,196.5,Green Zone,14.50,0.66
11-10-2014,12,16,103,221,102,Koregaon Park,353,Red Zone,51.50,2.34
11-10-2014,21,21,42,132,42,Hinjewadi,208.2,Yellow Zone,21.00,0.95
12-10-2014,12,14,80,221,80,Viman Nagar,330.9,Red Zone,40.00,1.82
12-10-2014,25,30,48,206,48,Magarpatta,303.3,Red Zone,24.00,1.09
13-10-2014,16,15,59,221,59,Magarpatta,314.7,Red Zone,29.50,1.34
13-10-2014,32,43,51,110,54,Hinjewadi,213,Yellow Zone,25.50,1.16
14-10-2014,21,22,64,221,64,Kharadi,326.6,Red Zone,32.00,1.45
15-10-2014,8,14,52,221,52,Kharadi,303.7,Red Zone,26.00,1.18
15-10-2014,28,30,27,90,38,Kharadi,158.3,Green Zone,13.50,0.61
16-10-2014,17,20,37,95,37,Viman Nagar,160.3,Green Zone,18.50,0.84
17-10-2014,20,10,50,221,50,Koregaon Park,305.1,Red Zone,25.00,1.14
17-10-2014,28,26,28,108,33,Kharadi,176.2,Green Zone,14.00,0.64
18-10-2014,31,44,20,126,55,Magarpatta,202.9,Yellow Zone,10.00,0.45
18-10-2014,20,11,58,221,58,Koregaon Park,313,Red Zone,29.00,1.32
19-10-2014,24,20,42,114,42,Hinjewadi,189.2,Green Zone,21.00,0.95
20-10-2014,15,19,25,63,25,Magarpatta,112.6,Green Zone,12.50,0.57
20-10-2014,20,49,51,221,51,Viman Nagar,333.3,Red Zone,25.50,1.16
21-10-2014,20,49,38,221,38,Hinjewadi,321.6,Red Zone,19.00,0.86
22-10-2014,20,18,78,221,78,Magarpatta,335.9,Red Zone,39.00,1.77
22-10-2014,25,34,26,106,43,Viman Nagar,176.3,Green Zone,13.00,0.59
23-10-2014,20,9,69,221,69,Baner,321.5,Red Zone,34.50,1.57
23-10-2014,29,38,96,313,96,Baner,471.8,Red Zone,48.00,2.18
24-10-2014,13,26,149,326,133,Viman Nagar,517.4,Red Zone,74.50,3.39
24-10-2014,13,36,140,221,127,Kharadi,400.8,Red Zone,70.00,3.18
24-10-2014,13,39,132,327,121,Koregaon Park,512.3,Red Zone,66.00,3.00
25-10-2014,13,41,181,221,154,Baner,441.2,Red Zone,90.50,4.11
25-10-2014,21,26,177,435,151,Hinjewadi,666.5,Red Zone,88.50,4.02
26-10-2014,29,40,129,330,119,Kharadi,521.6,Red Zone,64.50,2.93
26-10-2014,21,27,184,221,156,Kharadi,438.1,Red Zone,92.00,4.18
27-10-2014,20,46,95,316,95,Viman Nagar,475.3,Red Zone,47.50,2.16
27-10-2014,22,20,161,221,141,Magarpatta,413,Red Zone,80.50,3.66
28-10-2014,30,42,81,360,81,Magarpatta,513.3,Red Zone,40.50,1.84
28-10-2014,19,20,133,221,122,Koregaon Park,386.3,Red Zone,66.50,3.02
29-10-2014,14,16,95,221,95,Viman Nagar,346.8,Red Zone,47.50,2.16
30-10-2014,20,11,30,221,30,Baner,287.8,Yellow Zone,15.00,0.68
31-10-2014,20,34,35,104,43,Baner,179.7,Green Zone,17.50,0.80
01-11-2014,24,32,24,58,40,Baner,119.8,Green Zone,12.00,0.55
01-11-2014,9,9,51,221,51,Hinjewadi,299.8,Yellow Zone,25.50,1.16
02-11-2014,9,10,83,221,83,Viman Nagar,329.3,Red Zone,41.50,1.89
